order_id,order_date,customer,region,category,product,quantity,unit_price
ORD-14774,2025-07-28,Wavecrest Hotel,MD,food & beverage,Coffee 5lb Bag,4,49.60 USD
ORD-14287,46080,Chesapeake Motors Inc,Washington DC,Safety Eqipment,First Aid Kit,1,43.17 USD
ORD-14368,46039,atlantic supply, NC,Office Supplies,Ink Cartridge,1,33.58 USD
ORD-10965,"August 22, 2025",LANDSTOWN  PEDIATRICS CO.,Virginia,Furniture,Task Chair,1,170.58
ORD-12823,"January 10, 2025",FOXTAIL FLORIST COMPANY,SC,Safety Equipment,Fire Extinguisher,3,$ 68.93
ORD-11471,11/22/2025,Uptown Barbers LLC,DC,F&B,Tea Sampler,5,$21.19
ORD-11798,01-Apr-26,Lighthouse  Daycare LLC,dc,ELECTRONICS,Wireless Mouse,5,26.78
ORD-11502,"July 12, 2025",lighthouse daycare co.,Virginia,food & beverage,Water Cooler Jug,3,$13.06
ORD-12821,46038,Lighthouse  Daycare LLC,NC,Safety Equipment,First Aid Kit,10,$ 43.53
ORD-14857,1/22/2025,jetty  joe's tackle ,DC,Safety Eqipment,Safety Vest 10-Pack,1,$ 54.92
ORD-10037,2026-02-15,Atlantic Supply ,nc,Cleaning,Disinfectant 4-Pack,4,$ 29.10
ORD-12780,46003,Lighthouse Daycare,nc,Food & Beverage,Water Cooler Jug,8,13.21
ORD-14248,2025-10-30,wavecrest hotel llc,sc ,Food & Beverage,Snack Variety Box,2,$ 35.62
ORD-14292,12/20/25,Redwing  Auto Parts Company,md,Food & Beverage,Coffee 5lb Bag,4,49.43
ORD-12117,45760,ATLANTIC SUPPLY INC,Virginia,Electronics,Label Printer,2,138.87 USD
ORD-11281,23-May-25,LIGHTHOUSE DAYCARE COMPANY,SC,Electronics,USB-C Dock,1,84.80
ORD-12057,27-Jun-25,ironclad  fitness inc ,NC,Office Supplies,Whiteboard,8,61.70
ORD-10760,24-Dec-25,"Landstown Pediatrics, Inc.",VA ,Safety Eqipment,Safety Vest 10-Pack,1,53.90
ORD-14512,"January 14, 2025",Cardinal Pest Control Co. ,Washington DC,Food & Beverage,Snack Variety Box,8,$37.51
ord 14470,21-Nov-25,Greenbrier Gym ,nc,Cleaning,Mop Kit,8,37.88 USD
ORD-14963,4/7/2026,james river tours,South Carolina,FURNITURE,Bookshelf,1,119.16
ORD-14506,"September 19, 2025",jetty joe's tackle llc,va,SAFETY EQUIPMENT,First Aid Kit,8.0,43.88
ORD-10183,46166,Redwing Auto Parts,VA,Food & Beverage,Water Cooler Jug,1,13.15
ORD-12024,"May 04, 2026",Harbor Light Church LLC,MD,Cleaning,Trash Liners Box,1,23.14 USD
ORD-12026,45831,DOMINION CAFE,sc ,Electronics,27in Monitor,4,$ 228.22
ORD-13304,"May 29, 2025",OCEANFRONT SURF SHOP LLC,MD,Electronics,Wireless Mouse,10,24.20
ORD-13879,2025-04-01,Quality  Crab Co,D.C.,Office Supplies,Copy Paper Case,1,40.39 USD
ORD-11907,"April 10, 2025",oceanfront surf shop co.,MD,Safety Equipment,First Aid Kit,3,$ 48.40
ORD-14390,45855,Emerald Cleaners Inc, NC,Furniture,Bookshelf,4,118.81 USD
ORD-12575,"February 04, 2026",MOUNT TRASHMORE MINI GOLF,NC,Furnture,Task Chair,10,154.19
ORD-11377,1/4/2026,Cardinal Pest Control,na,Cleaning  ,Trash Liners Box,2,$22.72
ORD-11555,16-Apr-25,"Beacon Bookkeeping, Inc.",Maryland,CLEANING,Mop Kit,10,$34.99
ORD-12290,20-Nov-25,Eastline Logistics ,South Carolina,Safety Equipment,Wet Floor Signs,10,$21.46
ORD-12945,46004,Driftwood Decor,North Carolina,CLEANING,Trash Liners Box,5,23.02 USD
ORD-10544,"November 23, 2025","Emerald  Cleaners, Inc.",sc ,F&B,Coffee 5lb Bag,1,$48.11
ORD-11610,02-Sep-25,BEACON BOOKKEEPING CO.,VA ,electronics,USB-C Dock,1,$85.98
ord 12694,"April 26, 2025",pembroke  law group co.,SC,cleaning,Trash Liners Box,8,$23.98
ORD-13370,4/24/2026,xpress couriers,dc,food & beverage,Snack Variety Box,5,35.04 USD
ORD-13973,"September 13, 2025",dominion cafe ,Maryland,Cleaning  ,Hand Soap Case,10,$ 28.04
ORD-11855,"May 16, 2025",BEACON BOOKKEEPING COMPANY ,sc ,Food & Beverage,Snack Variety Box,1,$ 34.38
ORD-13714,2026-05-06,OSPREY  OPTICS,North Carolina,Safety Equipment,Safety Vest 10-Pack,10,$54.29
ORD-11748,4/21/2025,EASTLINE LOGISTICS INC ,NC,Electronics,27in Monitor,10,228.31
ORD-13557,12/8/2025,Landstown  Pediatrics,MD,Cleening,Hand Soap Case,8,31.61 USD
ORD-13276,45795,Driftwood Decor LLC,NC,Cleaning,Hand Soap Case,1,$ 29.23
ORD-13734,"December 23, 2025",Beacon Bookkeeping ,D.C.,Electronics,Wireless Mouse,2,$ 24.89
ORD-11963,19-Mar-25,Driftwood Decor LLC,NC,Food & Beverage,Coffee 5lb Bag,1,$ 48.34
ORD-10908,29-May-26,Wavecrest Hotel Co.,VA,Food & Beverage,Tea Sampler,4,$20.80
ORD-12964,08/04/25,"TIDEWATER  ROOFING, INC. ",md,cleaning,Hand Soap Case,4,$28.81
ORD-14379,45740,Xpress Couriers Company ,dc,F&B,Coffee 5lb Bag,5,$ 48.88
ORD-13042,45765,BAYVIEW DENTAL CO.,virginia,Office Supplies,Whiteboard,10,64.50
ORD-14740,19-Mar-25,INLET ICE CREAM,sc ,Electronics,Label Printer,1,141.35 USD
ORD-11704,"June 09, 2025",Tidewater Roofing LLC,South Carolina,Office Supplies,Copy Paper Case,8,42.17
ord 13392,"January 05, 2025",Salem Lanes Bowling LLC,sc ,Safety Equipment,First Aid Kit,5,$48.14
ORD-12846,22-Sep-25,KEMPSVILLE KARATE,va,Furniture,Standing Desk,2,405.02
ORD-12561,"April 15, 2025",Emerald Cleaners Company,D.C.,cleaning,Hand Soap Case,3,30.82 USD
ORD-14211,04/30/25,"Xpress Couriers, Inc. ",Virginia,Electronics ,27in Monitor,1,$ 227.18
ORD-13205,12-May-26,"xpress couriers, inc.",VA,Food & Beverage,Snack Variety Box,1,$35.59
ord 12195,"July 07, 2025",Tidewater  Roofing LLC ,South Carolina,Furniture,Bookshelf,2,$ 120.58
ORD-14250,03/05/25,mount trashmore mini golf llc ,VA ,Furniture,Bookshelf,1,114.65
ORD-11217,10-May-25,Gull Point Marina Co.,Maryland,Safety Equipment,Safety Vest 10-Pack,5,50.01 USD
ord 14926,2025-05-15,Chesapeake Motors Company,md,Food & Beverage,Snack Variety Box,1,$38.63
ord 13327,14-Mar-26,Uptown Barbers,Virginia,ELECTRONICS,USB-C Dock,2,$90.93
ORD-10696,2026-03-20,OCEANFRONT SURF SHOP,Maryland,Safety Equipment,Wet Floor Signs,8,20.32
ORD-12454,"December 05, 2025",quality crab co,DC,Cleaning,Trash Liners Box,2,$ 23.57
ord 11871,"October 15, 2025",TIDEWATER ROOFING CO. ,nc,Electronics,Wireless Mouse,2,26.42 USD
ORD-14817,18-Mar-25,Kettle & Crumb Bakery ,md,electronics,27in Monitor,2,213.45 USD
ORD-11127,4/4/2025,Dominion Cafe LLC,virginia,Safety Equipment,Fire Extinguisher,10,$ 69.87
ORD-11659,13-Apr-25,Landstown Pediatrics Co.,sc ,food & beverage,Coffee 5lb Bag,5,$ 51.61
ORD-14700,2025-07-07,Redwing Auto Parts Company ,sc ,Food & Beverage,Tea Sampler,1,$ 22.28
ORD-12504,2025-07-24,Zenith  HVAC Company,North Carolina,Electronics,Wireless Mouse,2,$ 24.27
ORD-13759,10/31/25,Yorktown Catering, NC,Furniture,Standing Desk,5,394.37
ORD-11276,"December 13, 2025",Foxtail  Florist Company,North Carolina,Cleaning,Disinfectant 4-Pack,1,27.73 USD
ORD-13003,12/13/25,OSPREY  OPTICS,sc ,Furniture,Standing Desk,4,390.72 USD
ORD-12327,2025-03-15,uptown barbers co.,na,Electronics ,USB-C Dock,1,84.67 USD
ORD-13874,"October 12, 2025",JAMES RIVER TOURS ,dc,ELECTRONICS,USB-C Dock,2,$ 93.59
ord 12272,46051,Quality  Crab Co ,South Carolina,food & beverage,Coffee 5lb Bag,3,49.41
ORD-14498,07/23/25,OSPREY OPTICS CO.,South Carolina,FURNITURE,Bookshelf,2,$ 114.60
ORD-13638,"May 04, 2026",Driftwood  Decor Inc ,MD,Electroncs,USB-C Dock,-2.0,$ 89.68
ORD-11680,"July 07, 2025","Osprey Optics, Inc.",md,Electronics,27in Monitor,2,$ 232.14
ORD-12091,"January 24, 2025",KETTLE & CRUMB BAKERY,Washington DC,furniture,File Cabinet,3,$104.09
ORD-14955,45984,First Colony Realty ,MD,F&B,Tea Sampler,1,22.99 USD
ORD-12731,14-Apr-25,inlet ice cream inc,SC,Furniture,Task Chair,10,167.58
ORD-10271,28-Feb-25,Oceanfront Surf Shop,md,Furniture,Bookshelf,8,$113.17
ORD-12243,10/26/2025,Cardinal Pest Control Co.,Virginia,Safety Equipment,Safety Vest 10-Pack,1,53.34
ORD-11026,45826,ZENITH HVAC COMPANY ,va,Food & Beverage,Coffee 5lb Bag,5,$51.52
ord 12173,2025-05-23,Landstown Pediatrics,MD,Furniture,Bookshelf,8,113.54
ORD-10139,12/14/2025,Atlantic Supply Co.,Maryland,Cleaning,Disinfectant 4-Pack,4,$27.68
ORD-10425,45894,Inlet Ice Cream,DC,SAFETY EQUIPMENT,Wet Floor Signs,1.0,$20.58
ORD-12960,10/28/2025,Inlet Ice Cream Co.,sc ,Office Supplies,Ink Cartridge,3,33.32 USD
ORD-14113,03/15/26,DRIFTWOOD DECOR CO.,Maryland,furniture,Standing Desk,1,403.85 USD
,28-Feb-26,Jetty Joe's Tackle Co.,dc,electronics,Wireless Mouse,-3,$24.38
ORD-14056,05-May-25,Mount Trashmore Mini Golf LLC,null,Safety equip.,Safety Vest 10-Pack,3,$ 52.62
ORD-10121,45743,ZENITH HVAC,SC,Office Supplies,Copy Paper Case,1,$44.34
ORD-13921,2025-07-07,Harbor  Light Church,South Carolina,Cleaning,Disinfectant 4-Pack,2,29.57 USD
ORD-12704,2026-04-20,Chesapeake Motors,Maryland,Electronics,USB-C Dock,2,88.95
ORD-11806,03/11/26,Norfolk Notary LLC,MD,Food & Beverage,Water Cooler Jug,2,$13.62
ORD-13926,2026-03-07,Salem Lanes Bowling,Maryland,Cleaning,Mop Kit,10,$39.68
ORD-12263,12-Jun-25,NANSEMOND NURSERY COMPANY ,virginia,OFFICE SUPPLIES,Copy Paper Case,8,$ 40.66
ORD-13351,09/15/25,PEMBROKE  LAW GROUP INC,virginia,Food & Beverage,Coffee 5lb Bag,4,$49.51
ORD-14279,"April 12, 2025",foxtail florist,NC,Safety Equipment,First Aid Kit,4,48.04 USD
ORD-11923,5/18/2025,JAMES  RIVER TOURS,Virginia,Furniture,Standing Desk,2,417.74
ORD-14746,1/8/2025,Driftwood Decor,MD,FURNITURE,Bookshelf,4,109.11
ORD-14572,15-Feb-25,Oceanfront  Surf Shop,North Carolina,Cleaning  ,Disinfectant 4-Pack,10,$28.88
ORD-13206,16-May-26,Gull Point Marina Company ,null,SAFETY EQUIPMENT,First Aid Kit,10,$ 47.21
ORD-14422,1/3/2026,LIGHTHOUSE DAYCARE ,SC,cleaning,Disinfectant 4-Pack,3,29.27
ORD-10423,45843,Jetty Joe's Tackle Company,dc,Safety Equipment,Fire Extinguisher,5,$ 70.26
ORD-13454,45757,Tidewater Roofing,nc,Cleaning,Trash Liners Box,1,23.55 USD
ORD-13141,1/8/2026,Jetty Joe's Tackle LLC,N/A,Ofice Supplies,Stapler Set,4,$ 17.80
ORD-12456,2025-07-24,Pembroke  Law Group Company,SC,Electronics,USB-C Dock,1,86.03 USD
ORD-14119,2026-05-06,Xpress Couriers,D.C.,Office Supplies,Ink Cartridge,4,$33.82
ORD-12897,1/12/2026,Marlin Print Shop Inc,North Carolina,Cleaning,Hand Soap Case,5,28.12
ORD-10464,4/29/2026,"TIDEWATER ROOFING, INC.",North Carolina,Office Supplies,Stapler Set,1,$18.27
ORD-14846,"October 24, 2025",Kempsville Karate Co.,SC,Food & Beverage,Snack Variety Box,1,$37.90
ORD-11754,45750,Landstown Pediatrics LLC,null,Safety equip.,Fire Extinguisher,8,$ 67.02
ord 13997,2025-02-25,Quality Crab Co, NC,Electronics,Label Printer,2.0,132.41 USD
ORD-14262,46079,"Chesapeake Motors, Inc.", NC,Office Supplies,Whiteboard,2,66.04
ORD-11122,4/29/2025,Virginia Beach Vets,NC,Cleaning,Disinfectant 4-Pack,3,29.05
ord 14249,04-Nov-25,Cardinal Pest Control LLC,md,Safety Equipment,Safety Vest 10-Pack,2,55.62
ORD-11763,5/12/2026,"Norfolk Notary, Inc.",md,Cleaning,Mop Kit,3,36.02 USD
ORD-12071,19-Jan-25,Jetty  Joe's Tackle Inc,Maryland,Furniture,Task Chair,1,158.39
ORD-10954,10-Mar-25,"FIRST  COLONY REALTY, INC.",sc ,SAFETY EQUIPMENT,Fire Extinguisher,10,$66.09
ORD-14033,45696,kettle & crumb bakery inc,VA,Cleaning,Hand Soap Case,8,29.78
ORD-13937,2026-02-24,Wavecrest Hotel Company,NC,furniture,Task Chair,2,$166.03
ORD-12285,02/26/26,IRONCLAD FITNESS,South Carolina,F&B,Snack Variety Box,8.0,$36.44
ORD-12621,11/11/25,Kempsville Karate,Maryland,Electronics,USB-C Dock,3,$ 91.28
ord 13315,46050,Tidewater Roofing Inc,sc ,food & beverage,Coffee 5lb Bag,2,$ 51.19
ORD-10985,03-Sep-25,Emerald  Cleaners Inc,Maryland,electronics,Label Printer,4,$ 134.59
ORD-13629,45980,Mount Trashmore Mini Golf ,sc ,food & beverage,Tea Sampler,2,23.09
ORD-10516,2025-12-27,James  River Tours,South Carolina,Furniture,Standing Desk,1,397.40
ORD-11260,2025-06-22,Greenbrier Gym LLC,Maryland,CLEANING,Mop Kit,2,$ 36.91
ORD-10359,2025-07-30,Wavecrest Hotel,South Carolina,Electronics,Label Printer,1,138.02 USD
ORD-13672,2/11/2026,emerald cleaners company ,md,Food & Beverage,Coffee 5lb Bag,3,$46.88
ORD-10777,07/23/25,kempsville karate,sc ,ELECTRONICS,27in Monitor,2,232.67
ORD-10767,2025-01-14,Dominion Cafe Co. ,virginia,Office Supplies,Stapler Set,2,$ 19.00
ORD-14494,3/31/2025,Zenith HVAC,South Carolina,Cleaning,Mop Kit,1,$39.09
ORD-12179,13-Jan-26,Virginia  Beach Vets LLC,MD,Electronics,Wireless Mouse,10,$ 25.56
ORD-11816,"January 22, 2026","Tidewater Roofing, Inc.",Maryland,Cleaning,Trash Liners Box,1,24.53 USD
ORD-14255,03/17/25,Eastline Logistics ,va,Furniture,Standing Desk,10,$ 401.89
ORD-13175,9/5/2025,EASTLINE LOGISTICS LLC,D.C.,Office Supplies,Copy Paper Case,1,$45.12
ORD-11983,45751,Wavecrest Hotel Co.,Maryland,Food & Beverage,Snack Variety Box,5,38.79 USD
ORD-12069,17-Feb-26,Beacon Bookkeeping Company,Virginia,Safety Equipment,First Aid Kit,8,$47.61
ORD-11350,2025-11-13,Tidewater Roofing LLC ,Maryland,Cleening,Mop Kit,1,$ 38.60
ORD-14453,2026-04-20,Gull Point Marina Inc,MD,Furniture,Task Chair,1,$ 172.08
,"August 29, 2025",PEMBROKE LAW GROUP, NC,Office Supplies,Whiteboard,10,63.47
ORD-13863,4/5/2025,Zenith HVAC,N/A,Safety Equipment,Wet Floor Signs,-1,20.87
ORD-11460,"April 03, 2025","Dominion Cafe, Inc. ",Maryland,furniture,Task Chair,10,171.31 USD
ORD-12708,46036,Driftwood Decor LLC,SC,Cleaning,Disinfectant 4-Pack,10,27.01 USD
ORD-12937,3/2/2025,Hilltop Hardware Co.,VA ,F&B,Tea Sampler,4,22.43 USD
ORD-11027,2026-02-21,inlet ice cream company,dc,F&B,Water Cooler Jug,2,12.74
ORD-10059,46079,virginia beach vets llc,SC,Electroncs,27in Monitor,8,222.76 USD
ORD-13491,2026-05-06,Osprey Optics,D.C.,Electroncs,USB-C Dock,1,$ 96.07
ORD-13411,17-Jun-25,MARLIN PRINT SHOP ,MD,Office Supplies,Stapler Set,1,$ 19.08
ORD-12477,"October 17, 2025",oceanfront surf shop co.,md,Electronics,Label Printer,3,136.61
ORD-11400,45843,Atlantic Supply,SC,Ofice Supplies,Copy Paper Case,2,42.26 USD
ORD-14168,"March 25, 2025",gull point marina llc,D.C.,Office Supplies,Ink Cartridge,2,$34.06
ORD-14030,1/25/2026,Jetty Joe's Tackle ,North Carolina,OFFICE SUPPLIES,Ink Cartridge,2,30.79
ORD-12795,2026-02-12,Dominion  Cafe,VA ,ELECTRONICS,Label Printer,8,$ 139.36
ORD-10627,17-Nov-25,BEACON BOOKKEEPING,SC,Cleaning,Hand Soap Case,1,29.27
ORD-14943,"June 22, 2025","WAVECREST HOTEL, INC.",SC,Safety equip.,Fire Extinguisher,5,$65.79
ord 13443,46155,PEMBROKE LAW GROUP,va,Office Supplies,Copy Paper Case,2,$41.67
ORD-14352,"February 01, 2025",Dominion Cafe Inc ,NC,Furniture,Bookshelf,1,119.14
ORD-12902,46003,lighthouse daycare,South Carolina,Electronics,27in Monitor,4,$ 230.73
ORD-12547,45712,LANDSTOWN PEDIATRICS COMPANY,MD,Office Supplies,Stapler Set,4,$19.88
ORD-13620,05/21/26,Pembroke Law Group LLC,NC,OFFICE SUPPLIES,Whiteboard,8,68.37
ORD-13912,8/29/2025,Eastline Logistics, NC,electronics,USB-C Dock,2,$ 92.25
ORD-13667,07-Oct-25,HILLTOP HARDWARE,dc,Electronics,Label Printer,5,127.94
ORD-12935,04/23/25,emerald cleaners company ,NC,FOOD & BEVERAGE,Coffee 5lb Bag,8,$ 51.51
ORD-13259,45843,"Norfolk Notary, Inc.",VA,Safety Equipment,First Aid Kit,8,48.41
ORD-13556,2025-09-03,lighthouse daycare company,NC,Furniture,Bookshelf,8,110.85 USD
ORD-13648,14-Nov-25,Hilltop  Hardware,MD,Furnture,File Cabinet,2,106.40 USD
ORD-12878,05/12/26,Cardinal Pest Control,dc,office supplies,Stapler Set,5,17.73 USD
ORD-12432,03-Oct-25,oceanfront surf shop co.,virginia,Food & Beverage,Coffee 5lb Bag,1,49.65
ORD-13841,46046,"Marlin  Print Shop, Inc.",South Carolina,Cleaning,Hand Soap Case,2,30.55 USD
ORD-11316,45908,Landstown  Pediatrics Company,sc ,CLEANING,Mop Kit,3,37.01
ORD-11176,2025-06-11,Pembroke Law Group LLC,Washington DC,Furniture,Task Chair,1,$171.51
ORD-10180,"September 10, 2025",Eastline Logistics LLC,NC,Office Supplies,Stapler Set,1,$17.76
ORD-14003,21-Jul-25,HARBOR LIGHT CHURCH COMPANY, NC,Safety Equipment,Safety Vest 10-Pack,8,$ 50.67
ORD-11977,30-Apr-25,Cardinal Pest Control,D.C.,electronics,USB-C Dock,1,$ 88.89
ORD-11639,46119,ATLANTIC SUPPLY INC,Virginia,Electronics,Wireless Mouse,1,25.43
ORD-11480,12-Oct-25,Kettle & Crumb Bakery ,,Electronics,27in Monitor,8,$ 212.85
ORD-14239,27-Sep-25,Hilltop Hardware Inc , NC,Food and Beverage,Tea Sampler,2,$ 21.49
ORD-12682,"May 23, 2025",zenith hvac company ,Maryland,Food and Beverage,Tea Sampler,2,22.58 USD
ORD-11597,45687,Mount Trashmore Mini Golf,Washington DC,Office Supplies,Ink Cartridge,1,33.74 USD
ORD-10292,03-Jul-25,NORFOLK  NOTARY ,North Carolina,FOOD & BEVERAGE,Snack Variety Box,1,37.55 USD
ORD-14238,"July 09, 2025",DRIFTWOOD  DECOR,D.C.,Cleening,Disinfectant 4-Pack,1,$ 26.66
ORD-10448,9/27/2025,Lighthouse Daycare Co., NC,Safety Equipment,Safety Vest 10-Pack,8,54.58 USD
ORD-10438,11/6/2025,"WAVECREST  HOTEL, INC.",sc ,Food and Beverage,Water Cooler Jug,5,$12.34
ORD-10596,2026-04-04,"harbor light church, inc.",NC,Furniture,Bookshelf,1,$114.91
ORD-14676,4/30/2025,"Chesapeake Motors, Inc.",sc ,Cleening,Disinfectant 4-Pack,8,$26.58
ORD-11646,"April 13, 2025",dominion cafe,sc ,electronics,Label Printer,1,$ 127.80
ORD-12701,2025-07-21,Inlet Ice Cream Inc,MD,Safety Equipment,Wet Floor Signs,10,20.89
ORD-14221,2025-05-14,NANSEMOND NURSERY INC,dc,Electronics,Wireless Mouse,2,$24.82
ORD-14636,6/11/2025,Eastline Logistics Co.,sc ,Cleaning,Hand Soap Case,8,30.90
ORD-14012,04/11/25,Jetty Joe's Tackle LLC,virginia,Electronics,Label Printer,2,$ 136.06
,10/29/2025,Wavecrest Hotel,DC,Office Supplies,Ink Cartridge,2,33.46 USD
ORD-12384,07/15/25,chesapeake  motors company,South Carolina,CLEANING,Trash Liners Box,3,22.93 USD
ORD-11662,2026-03-26,"Eastline Logistics, Inc.",nc,Food & Beverage,Tea Sampler,10,$ 21.16
ORD-12792,09-Jul-25,Gull Point Marina Co.,md,Cleaning,Trash Liners Box,8,$ 23.01
ORD-12593,2025-12-10,Foxtail Florist Inc ,md,Food & Beverage,Snack Variety Box,1,34.56 USD
ORD-10226,"February 25, 2025","YORKTOWN CATERING, INC.",va,furniture,Bookshelf,3,$115.27
ORD-14594,"January 13, 2026",LIGHTHOUSE DAYCARE COMPANY,VA,Safety Eqipment,First Aid Kit,2,$ 48.00
ORD-10522,5/2/2025,GULL POINT MARINA COMPANY,sc ,Office Supplies,Ink Cartridge,2,31.76
ORD-13564,"October 12, 2025",foxtail florist,South Carolina,Electronics,Wireless Mouse,1,26.39 USD
ORD-14337,2026-04-04,KEMPSVILLE KARATE INC,Washington DC,Food & Beverage,Tea Sampler,8,21.84 USD
ORD-13681,05-Mar-25,Bayview Dental,null,F&B,Water Cooler Jug,1,$12.35
ORD-14151,12/29/25,Osprey Optics,North Carolina,Office Supplies,Copy Paper Case,3,$ 40.96
ORD-12934,2026-03-09,Osprey Optics,DC,Food & Beverage,Water Cooler Jug,5,$12.21
ORD-10869,06/01/25,Chesapeake Motors Co. ,SC,Office Supplies,Copy Paper Case,2,40.21 USD
ORD-10751,4/25/2026,LANDSTOWN PEDIATRICS,virginia,Safety Equipment,Fire Extinguisher,1,$67.06
ORD-11652,"May 02, 2026",Jetty  Joe's Tackle Company,md,furniture,Standing Desk,2,407.02 USD
ORD-11258,7/5/2025,greenbrier  gym company,NC,Electronics,Wireless Mouse,5,$ 25.98
ORD-14782,"September 10, 2025",WAVECREST HOTEL,North Carolina,Electronics,Label Printer,3,$ 134.35
ORD-12784,08/02/25,MARLIN PRINT SHOP INC,VA ,Food & Beverage,Tea Sampler,1,$21.15
ORD-13473,45900,Redwing Auto Parts LLC,virginia,Office Supplies,Whiteboard,5,62.34 USD
ORD-11106,02/26/25,Cardinal  Pest Control Company,nc,Safety Equipment,Fire Extinguisher,1,66.02
ORD-13690,2026-02-12,yorktown catering,,Food & Beverage,Tea Sampler,2,$ 22.38
ORD-13113,"July 22, 2025",Cardinal  Pest Control Co.,North Carolina,Safety Equipment,Safety Vest 10-Pack,5,53.31 USD
ORD-12287,"May 25, 2025",Marlin  Print Shop,nc,safety equipment,Safety Vest 10-Pack,1,54.82 USD
ORD-14405,19-Feb-25,Hilltop Hardware Company ,virginia,Safety Equipment,First Aid Kit,1,$48.29
ord 10741,"September 14, 2025",Cardinal Pest Control LLC ,North Carolina,safety equipment,Wet Floor Signs,8,19.94 USD
ORD-10347,5/1/2025,NANSEMOND NURSERY INC,D.C.,FURNITURE,Bookshelf,1,118.60 USD
ord 12232,21-May-26,Ironclad Fitness Inc,Virginia,Electronics,Label Printer,1,133.11 USD
ORD-11307,"October 24, 2025",MOUNT TRASHMORE MINI GOLF LLC,South Carolina,Electronics,Wireless Mouse,1,24.64 USD
ORD-12921,12/3/2025,James  River Tours,sc ,Food and Beverage,Water Cooler Jug,3,$ 12.93
ORD-11971,09-Mar-25,Driftwood Decor,va,Safety Eqipment,Wet Floor Signs,8,19.21 USD
ORD-10651,08/02/25,Atlantic Supply Co.,Maryland,Office Supplies,Whiteboard,4,64.47
ORD-10751,4/25/2026,LANDSTOWN PEDIATRICS,virginia,Safety Equipment,Fire Extinguisher,1,$67.06
ORD-11516,45831,YORKTOWN CATERING,D.C.,Electronics ,Label Printer,3,133.73 USD
ORD-14392,12-Jun-25,Quality Crab Co Company ,NC,Furniture,Bookshelf,5,112.45 USD
ORD-14139,45849,"FOXTAIL FLORIST, INC.",VA,Electroncs,USB-C Dock,3,$89.86
ORD-11318,06-Feb-26,Xpress Couriers,South Carolina,Cleaning,Mop Kit,1,37.74 USD
ORD-11868,45839,Eastline Logistics Company ,North Carolina,Electronics,Wireless Mouse,8,$26.01
