order_id,order_date,customer,region,category,product,quantity,unit_price,revenue
ORD-14248,2025-10-30,Wavecrest Hotel,SC,Food & Beverage,Snack Variety Box,2.0,35.62,71.24
ORD-14292,2025-12-20,Redwing Auto Parts,MD,Food & Beverage,Coffee 5lb Bag,4.0,49.43,197.72
ORD-12117,2025-04-13,Atlantic Supply,VA,Electronics,Label Printer,2.0,138.87,277.74
ORD-11281,2025-05-23,Lighthouse Daycare,SC,Electronics,USB-C Dock,1.0,84.8,84.8
ORD-12057,2025-06-27,Ironclad Fitness,NC,Office Supplies,Whiteboard,8.0,61.7,493.6
ORD-10760,2025-12-24,Landstown Pediatrics,VA,Safety Equipment,Safety Vest 10-Pack,1.0,53.9,53.9
ORD-14512,2025-01-14,Cardinal Pest Control,DC,Food & Beverage,Snack Variety Box,8.0,37.51,300.08
ORD-14470,2025-11-21,Greenbrier Gym,NC,Cleaning,Mop Kit,8.0,37.88,303.04
ORD-14963,2026-04-07,James River Tours,SC,Furniture,Bookshelf,1.0,119.16,119.16
ORD-14506,2025-09-19,Jetty Joes Tackle,VA,Safety Equipment,First Aid Kit,8.0,43.88,351.04
ORD-10183,2026-05-24,Redwing Auto Parts,VA,Food & Beverage,Water Cooler Jug,1.0,13.15,13.15
ORD-12024,2026-05-04,Harbor Light Church,MD,Cleaning,Trash Liners Box,1.0,23.14,23.14
ORD-12026,2025-06-23,Dominion Cafe,SC,Electronics,27in Monitor,4.0,228.22,912.88
ORD-13304,2025-05-29,Oceanfront Surf Shop,MD,Electronics,Wireless Mouse,10.0,24.2,242.0
ORD-13879,2025-04-01,Quality Crab,DC,Office Supplies,Copy Paper Case,1.0,40.39,40.39
ORD-11907,2025-04-10,Oceanfront Surf Shop,MD,Safety Equipment,First Aid Kit,3.0,48.4,145.2
ORD-14390,2025-07-17,Emerald Cleaners,NC,Furniture,Bookshelf,4.0,118.81,475.24
ORD-12575,2026-02-04,Mount Trashmore Mini Golf,NC,Furniture,Task Chair,10.0,154.19,1541.9
ORD-11377,2026-01-04,Cardinal Pest Control,,Cleaning,Trash Liners Box,2.0,22.72,45.44
ORD-11555,2025-04-16,Beacon Bookkeeping,MD,Cleaning,Mop Kit,10.0,34.99,349.90000000000003
ORD-12290,2025-11-20,Eastline Logistics,SC,Safety Equipment,Wet Floor Signs,10.0,21.46,214.60000000000002
ORD-12945,2025-12-13,Driftwood Decor,NC,Cleaning,Trash Liners Box,5.0,23.02,115.1
ORD-10544,2025-11-23,Emerald Cleaners,SC,Food & Beverage,Coffee 5lb Bag,1.0,48.11,48.11
ORD-11610,2025-09-02,Beacon Bookkeeping,VA,Electronics,USB-C Dock,1.0,85.98,85.98
ORD-12694,2025-04-26,Pembroke Law Group,SC,Cleaning,Trash Liners Box,8.0,23.98,191.84
ORD-13370,2026-04-24,Xpress Couriers,DC,Food & Beverage,Snack Variety Box,5.0,35.04,175.2
ORD-13973,2025-09-13,Dominion Cafe,MD,Cleaning,Hand Soap Case,10.0,28.04,280.4
ORD-11855,2025-05-16,Beacon Bookkeeping,SC,Food & Beverage,Snack Variety Box,1.0,34.38,34.38
ORD-13714,2026-05-06,Osprey Optics,NC,Safety Equipment,Safety Vest 10-Pack,10.0,54.29,542.9
ORD-11748,2025-04-21,Eastline Logistics,NC,Electronics,27in Monitor,10.0,228.31,2283.1
ORD-13557,2025-12-08,Landstown Pediatrics,MD,Cleaning,Hand Soap Case,8.0,31.61,252.88
ORD-13276,2025-05-18,Driftwood Decor,NC,Cleaning,Hand Soap Case,1.0,29.23,29.23
ORD-13734,2025-12-23,Beacon Bookkeeping,DC,Electronics,Wireless Mouse,2.0,24.89,49.78
ORD-11963,2025-03-19,Driftwood Decor,NC,Food & Beverage,Coffee 5lb Bag,1.0,48.34,48.34
ORD-10908,2026-05-29,Wavecrest Hotel,VA,Food & Beverage,Tea Sampler,4.0,20.8,83.2
ORD-12964,2025-08-04,Tidewater Roofing,MD,Cleaning,Hand Soap Case,4.0,28.81,115.24
ORD-14379,2025-03-24,Xpress Couriers,DC,Food & Beverage,Coffee 5lb Bag,5.0,48.88,244.4
ORD-13042,2025-04-18,Bayview Dental,VA,Office Supplies,Whiteboard,10.0,64.5,645.0
ORD-14740,2025-03-19,Inlet Ice Cream,SC,Electronics,Label Printer,1.0,141.35,141.35
ORD-11704,2025-06-09,Tidewater Roofing,SC,Office Supplies,Copy Paper Case,8.0,42.17,337.36
ORD-13392,2025-01-05,Salem Lanes Bowling,SC,Safety Equipment,First Aid Kit,5.0,48.14,240.7
ORD-12846,2025-09-22,Kempsville Karate,VA,Furniture,Standing Desk,2.0,405.02,810.04
ORD-12561,2025-04-15,Emerald Cleaners,DC,Cleaning,Hand Soap Case,3.0,30.82,92.46000000000001
ORD-14211,2025-04-30,Xpress Couriers,VA,Electronics,27in Monitor,1.0,227.18,227.18
ORD-13205,2026-05-12,Xpress Couriers,VA,Food & Beverage,Snack Variety Box,1.0,35.59,35.59
ORD-12195,2025-07-07,Tidewater Roofing,SC,Furniture,Bookshelf,2.0,120.58,241.16
ORD-14250,2025-03-05,Mount Trashmore Mini Golf,VA,Furniture,Bookshelf,1.0,114.65,114.65
ORD-11217,2025-05-10,Gull Point Marina,MD,Safety Equipment,Safety Vest 10-Pack,5.0,50.01,250.04999999999998
ORD-14926,2025-05-15,Chesapeake Motors,MD,Food & Beverage,Snack Variety Box,1.0,38.63,38.63
ORD-13327,2026-03-14,Uptown Barbers,VA,Electronics,USB-C Dock,2.0,90.93,181.86
ORD-10696,2026-03-20,Oceanfront Surf Shop,MD,Safety Equipment,Wet Floor Signs,8.0,20.32,162.56
ORD-12454,2025-12-05,Quality Crab,DC,Cleaning,Trash Liners Box,2.0,23.57,47.14
ORD-11871,2025-10-15,Tidewater Roofing,NC,Electronics,Wireless Mouse,2.0,26.42,52.84
ORD-14817,2025-03-18,Kettle Crumb Bakery,MD,Electronics,27in Monitor,2.0,213.45,426.9
ORD-11127,2025-04-04,Dominion Cafe,VA,Safety Equipment,Fire Extinguisher,10.0,69.87,698.7
ORD-11659,2025-04-13,Landstown Pediatrics,SC,Food & Beverage,Coffee 5lb Bag,5.0,51.61,258.05
ORD-14700,2025-07-07,Redwing Auto Parts,SC,Food & Beverage,Tea Sampler,1.0,22.28,22.28
ORD-12504,2025-07-24,Zenith HVAC,NC,Electronics,Wireless Mouse,2.0,24.27,48.54
ORD-13759,2025-10-31,Yorktown Catering,NC,Furniture,Standing Desk,5.0,394.37,1971.85
ORD-11276,2025-12-13,Foxtail Florist,NC,Cleaning,Disinfectant 4-Pack,1.0,27.73,27.73
ORD-13003,2025-12-13,Osprey Optics,SC,Furniture,Standing Desk,4.0,390.72,1562.88
ORD-12327,2025-03-15,Uptown Barbers,,Electronics,USB-C Dock,1.0,84.67,84.67
ORD-13874,2025-10-12,James River Tours,DC,Electronics,USB-C Dock,2.0,93.59,187.18
ORD-12272,2026-01-29,Quality Crab,SC,Food & Beverage,Coffee 5lb Bag,3.0,49.41,148.23
ORD-14498,2025-07-23,Osprey Optics,SC,Furniture,Bookshelf,2.0,114.6,229.2
ORD-11680,2025-07-07,Osprey Optics,MD,Electronics,27in Monitor,2.0,232.14,464.28
ORD-12091,2025-01-24,Kettle Crumb Bakery,DC,Furniture,File Cabinet,3.0,104.09,312.27
ORD-14955,2025-11-23,First Colony Realty,MD,Food & Beverage,Tea Sampler,1.0,22.99,22.99
ORD-12731,2025-04-14,Inlet Ice Cream,SC,Furniture,Task Chair,10.0,167.58,1675.8000000000002
ORD-10271,2025-02-28,Oceanfront Surf Shop,MD,Furniture,Bookshelf,8.0,113.17,905.36
ORD-12243,2025-10-26,Cardinal Pest Control,VA,Safety Equipment,Safety Vest 10-Pack,1.0,53.34,53.34
ORD-11026,2025-06-18,Zenith HVAC,VA,Food & Beverage,Coffee 5lb Bag,5.0,51.52,257.6
ORD-12173,2025-05-23,Landstown Pediatrics,MD,Furniture,Bookshelf,8.0,113.54,908.32
ORD-10139,2025-12-14,Atlantic Supply,MD,Cleaning,Disinfectant 4-Pack,4.0,27.68,110.72
ORD-10425,2025-08-25,Inlet Ice Cream,DC,Safety Equipment,Wet Floor Signs,1.0,20.58,20.58
ORD-12960,2025-10-28,Inlet Ice Cream,SC,Office Supplies,Ink Cartridge,3.0,33.32,99.96000000000001
ORD-14113,2026-03-15,Driftwood Decor,MD,Furniture,Standing Desk,1.0,403.85,403.85
ORD-14056,2025-05-05,Mount Trashmore Mini Golf,,Safety Equipment,Safety Vest 10-Pack,3.0,52.62,157.85999999999999
ORD-10121,2025-03-27,Zenith HVAC,SC,Office Supplies,Copy Paper Case,1.0,44.34,44.34
ORD-13921,2025-07-07,Harbor Light Church,SC,Cleaning,Disinfectant 4-Pack,2.0,29.57,59.14
ORD-12704,2026-04-20,Chesapeake Motors,MD,Electronics,USB-C Dock,2.0,88.95,177.9
ORD-11806,2026-03-11,Norfolk Notary,MD,Food & Beverage,Water Cooler Jug,2.0,13.62,27.24
ORD-13926,2026-03-07,Salem Lanes Bowling,MD,Cleaning,Mop Kit,10.0,39.68,396.8
ORD-12263,2025-06-12,Nansemond Nursery,VA,Office Supplies,Copy Paper Case,8.0,40.66,325.28
ORD-13351,2025-09-15,Pembroke Law Group,VA,Food & Beverage,Coffee 5lb Bag,4.0,49.51,198.04
ORD-14279,2025-04-12,Foxtail Florist,NC,Safety Equipment,First Aid Kit,4.0,48.04,192.16
ORD-11923,2025-05-18,James River Tours,VA,Furniture,Standing Desk,2.0,417.74,835.48
ORD-14746,2025-01-08,Driftwood Decor,MD,Furniture,Bookshelf,4.0,109.11,436.44
ORD-14572,2025-02-15,Oceanfront Surf Shop,NC,Cleaning,Disinfectant 4-Pack,10.0,28.88,288.8
ORD-13206,2026-05-16,Gull Point Marina,,Safety Equipment,First Aid Kit,10.0,47.21,472.1
ORD-14422,2026-01-03,Lighthouse Daycare,SC,Cleaning,Disinfectant 4-Pack,3.0,29.27,87.81
ORD-10423,2025-07-05,Jetty Joes Tackle,DC,Safety Equipment,Fire Extinguisher,5.0,70.26,351.3
ORD-13454,2025-04-10,Tidewater Roofing,NC,Cleaning,Trash Liners Box,1.0,23.55,23.55
ORD-13141,2026-01-08,Jetty Joes Tackle,,Office Supplies,Stapler Set,4.0,17.8,71.2
ORD-12456,2025-07-24,Pembroke Law Group,SC,Electronics,USB-C Dock,1.0,86.03,86.03
ORD-14119,2026-05-06,Xpress Couriers,DC,Office Supplies,Ink Cartridge,4.0,33.82,135.28
ORD-12897,2026-01-12,Marlin Print Shop,NC,Cleaning,Hand Soap Case,5.0,28.12,140.6
ORD-10464,2026-04-29,Tidewater Roofing,NC,Office Supplies,Stapler Set,1.0,18.27,18.27
ORD-14846,2025-10-24,Kempsville Karate,SC,Food & Beverage,Snack Variety Box,1.0,37.9,37.9
ORD-11754,2025-04-03,Landstown Pediatrics,,Safety Equipment,Fire Extinguisher,8.0,67.02,536.16
ORD-13997,2025-02-25,Quality Crab,NC,Electronics,Label Printer,2.0,132.41,264.82
ORD-14262,2026-02-26,Chesapeake Motors,NC,Office Supplies,Whiteboard,2.0,66.04,132.08
ORD-11122,2025-04-29,Virginia Beach Vets,NC,Cleaning,Disinfectant 4-Pack,3.0,29.05,87.15
ORD-14249,2025-11-04,Cardinal Pest Control,MD,Safety Equipment,Safety Vest 10-Pack,2.0,55.62,111.24
ORD-11763,2026-05-12,Norfolk Notary,MD,Cleaning,Mop Kit,3.0,36.02,108.06
ORD-12071,2025-01-19,Jetty Joes Tackle,MD,Furniture,Task Chair,1.0,158.39,158.39
ORD-10954,2025-03-10,First Colony Realty,SC,Safety Equipment,Fire Extinguisher,10.0,66.09,660.9000000000001
ORD-14033,2025-02-08,Kettle Crumb Bakery,VA,Cleaning,Hand Soap Case,8.0,29.78,238.24
ORD-13937,2026-02-24,Wavecrest Hotel,NC,Furniture,Task Chair,2.0,166.03,332.06
ORD-12285,2026-02-26,Ironclad Fitness,SC,Food & Beverage,Snack Variety Box,8.0,36.44,291.52
ORD-12621,2025-11-11,Kempsville Karate,MD,Electronics,USB-C Dock,3.0,91.28,273.84000000000003
ORD-13315,2026-01-28,Tidewater Roofing,SC,Food & Beverage,Coffee 5lb Bag,2.0,51.19,102.38
ORD-10985,2025-09-03,Emerald Cleaners,MD,Electronics,Label Printer,4.0,134.59,538.36
ORD-13629,2025-11-19,Mount Trashmore Mini Golf,SC,Food & Beverage,Tea Sampler,2.0,23.09,46.18
ORD-10516,2025-12-27,James River Tours,SC,Furniture,Standing Desk,1.0,397.4,397.4
ORD-11260,2025-06-22,Greenbrier Gym,MD,Cleaning,Mop Kit,2.0,36.91,73.82
ORD-10359,2025-07-30,Wavecrest Hotel,SC,Electronics,Label Printer,1.0,138.02,138.02
ORD-13672,2026-02-11,Emerald Cleaners,MD,Food & Beverage,Coffee 5lb Bag,3.0,46.88,140.64000000000001
ORD-10777,2025-07-23,Kempsville Karate,SC,Electronics,27in Monitor,2.0,232.67,465.34
ORD-10767,2025-01-14,Dominion Cafe,VA,Office Supplies,Stapler Set,2.0,19.0,38.0
ORD-14494,2025-03-31,Zenith HVAC,SC,Cleaning,Mop Kit,1.0,39.09,39.09
ORD-12179,2026-01-13,Virginia Beach Vets,MD,Electronics,Wireless Mouse,10.0,25.56,255.6
ORD-11816,2026-01-22,Tidewater Roofing,MD,Cleaning,Trash Liners Box,1.0,24.53,24.53
ORD-14255,2025-03-17,Eastline Logistics,VA,Furniture,Standing Desk,10.0,401.89,4018.8999999999996
ORD-13175,2025-09-05,Eastline Logistics,DC,Office Supplies,Copy Paper Case,1.0,45.12,45.12
ORD-11983,2025-04-04,Wavecrest Hotel,MD,Food & Beverage,Snack Variety Box,5.0,38.79,193.95
ORD-12069,2026-02-17,Beacon Bookkeeping,VA,Safety Equipment,First Aid Kit,8.0,47.61,380.88
ORD-11350,2025-11-13,Tidewater Roofing,MD,Cleaning,Mop Kit,1.0,38.6,38.6
ORD-14453,2026-04-20,Gull Point Marina,MD,Furniture,Task Chair,1.0,172.08,172.08
,2025-08-29,Pembroke Law Group,NC,Office Supplies,Whiteboard,10.0,63.47,634.7
ORD-11460,2025-04-03,Dominion Cafe,MD,Furniture,Task Chair,10.0,171.31,1713.1
ORD-12708,2026-01-14,Driftwood Decor,SC,Cleaning,Disinfectant 4-Pack,10.0,27.01,270.1
ORD-12937,2025-03-02,Hilltop Hardware,VA,Food & Beverage,Tea Sampler,4.0,22.43,89.72
ORD-11027,2026-02-21,Inlet Ice Cream,DC,Food & Beverage,Water Cooler Jug,2.0,12.74,25.48
ORD-10059,2026-02-26,Virginia Beach Vets,SC,Electronics,27in Monitor,8.0,222.76,1782.08
ORD-13491,2026-05-06,Osprey Optics,DC,Electronics,USB-C Dock,1.0,96.07,96.07
ORD-13411,2025-06-17,Marlin Print Shop,MD,Office Supplies,Stapler Set,1.0,19.08,19.08
ORD-12477,2025-10-17,Oceanfront Surf Shop,MD,Electronics,Label Printer,3.0,136.61,409.83000000000004
ORD-11400,2025-07-05,Atlantic Supply,SC,Office Supplies,Copy Paper Case,2.0,42.26,84.52
ORD-14168,2025-03-25,Gull Point Marina,DC,Office Supplies,Ink Cartridge,2.0,34.06,68.12
ORD-14030,2026-01-25,Jetty Joes Tackle,NC,Office Supplies,Ink Cartridge,2.0,30.79,61.58
ORD-12795,2026-02-12,Dominion Cafe,VA,Electronics,Label Printer,8.0,139.36,1114.88
ORD-10627,2025-11-17,Beacon Bookkeeping,SC,Cleaning,Hand Soap Case,1.0,29.27,29.27
ORD-14943,2025-06-22,Wavecrest Hotel,SC,Safety Equipment,Fire Extinguisher,5.0,65.79,328.95000000000005
ORD-13443,2026-05-13,Pembroke Law Group,VA,Office Supplies,Copy Paper Case,2.0,41.67,83.34
ORD-14352,2025-02-01,Dominion Cafe,NC,Furniture,Bookshelf,1.0,119.14,119.14
ORD-12902,2025-12-12,Lighthouse Daycare,SC,Electronics,27in Monitor,4.0,230.73,922.92
ORD-12547,2025-02-24,Landstown Pediatrics,MD,Office Supplies,Stapler Set,4.0,19.88,79.52
ORD-13620,2026-05-21,Pembroke Law Group,NC,Office Supplies,Whiteboard,8.0,68.37,546.96
ORD-13912,2025-08-29,Eastline Logistics,NC,Electronics,USB-C Dock,2.0,92.25,184.5
ORD-13667,2025-10-07,Hilltop Hardware,DC,Electronics,Label Printer,5.0,127.94,639.7
ORD-12935,2025-04-23,Emerald Cleaners,NC,Food & Beverage,Coffee 5lb Bag,8.0,51.51,412.08
ORD-13259,2025-07-05,Norfolk Notary,VA,Safety Equipment,First Aid Kit,8.0,48.41,387.28
ORD-13556,2025-09-03,Lighthouse Daycare,NC,Furniture,Bookshelf,8.0,110.85,886.8
ORD-13648,2025-11-14,Hilltop Hardware,MD,Furniture,File Cabinet,2.0,106.4,212.8
ORD-12878,2026-05-12,Cardinal Pest Control,DC,Office Supplies,Stapler Set,5.0,17.73,88.65
ORD-12432,2025-10-03,Oceanfront Surf Shop,VA,Food & Beverage,Coffee 5lb Bag,1.0,49.65,49.65
ORD-13841,2026-01-24,Marlin Print Shop,SC,Cleaning,Hand Soap Case,2.0,30.55,61.1
ORD-11316,2025-09-08,Landstown Pediatrics,SC,Cleaning,Mop Kit,3.0,37.01,111.03
ORD-11176,2025-06-11,Pembroke Law Group,DC,Furniture,Task Chair,1.0,171.51,171.51
ORD-10180,2025-09-10,Eastline Logistics,NC,Office Supplies,Stapler Set,1.0,17.76,17.76
ORD-14003,2025-07-21,Harbor Light Church,NC,Safety Equipment,Safety Vest 10-Pack,8.0,50.67,405.36
ORD-11977,2025-04-30,Cardinal Pest Control,DC,Electronics,USB-C Dock,1.0,88.89,88.89
ORD-11639,2026-04-07,Atlantic Supply,VA,Electronics,Wireless Mouse,1.0,25.43,25.43
ORD-11480,2025-10-12,Kettle Crumb Bakery,,Electronics,27in Monitor,8.0,212.85,1702.8
ORD-14239,2025-09-27,Hilltop Hardware,NC,Food & Beverage,Tea Sampler,2.0,21.49,42.98
ORD-12682,2025-05-23,Zenith HVAC,MD,Food & Beverage,Tea Sampler,2.0,22.58,45.16
ORD-11597,2025-01-30,Mount Trashmore Mini Golf,DC,Office Supplies,Ink Cartridge,1.0,33.74,33.74
ORD-10292,2025-07-03,Norfolk Notary,NC,Food & Beverage,Snack Variety Box,1.0,37.55,37.55
ORD-14238,2025-07-09,Driftwood Decor,DC,Cleaning,Disinfectant 4-Pack,1.0,26.66,26.66
ORD-10448,2025-09-27,Lighthouse Daycare,NC,Safety Equipment,Safety Vest 10-Pack,8.0,54.58,436.64
ORD-10438,2025-11-06,Wavecrest Hotel,SC,Food & Beverage,Water Cooler Jug,5.0,12.34,61.7
ORD-10596,2026-04-04,Harbor Light Church,NC,Furniture,Bookshelf,1.0,114.91,114.91
ORD-14676,2025-04-30,Chesapeake Motors,SC,Cleaning,Disinfectant 4-Pack,8.0,26.58,212.64
ORD-11646,2025-04-13,Dominion Cafe,SC,Electronics,Label Printer,1.0,127.8,127.8
ORD-12701,2025-07-21,Inlet Ice Cream,MD,Safety Equipment,Wet Floor Signs,10.0,20.89,208.9
ORD-14221,2025-05-14,Nansemond Nursery,DC,Electronics,Wireless Mouse,2.0,24.82,49.64
ORD-14636,2025-06-11,Eastline Logistics,SC,Cleaning,Hand Soap Case,8.0,30.9,247.2
ORD-14012,2025-04-11,Jetty Joes Tackle,VA,Electronics,Label Printer,2.0,136.06,272.12
,2025-10-29,Wavecrest Hotel,DC,Office Supplies,Ink Cartridge,2.0,33.46,66.92
ORD-12384,2025-07-15,Chesapeake Motors,SC,Cleaning,Trash Liners Box,3.0,22.93,68.78999999999999
ORD-11662,2026-03-26,Eastline Logistics,NC,Food & Beverage,Tea Sampler,10.0,21.16,211.6
ORD-12792,2025-07-09,Gull Point Marina,MD,Cleaning,Trash Liners Box,8.0,23.01,184.08
ORD-12593,2025-12-10,Foxtail Florist,MD,Food & Beverage,Snack Variety Box,1.0,34.56,34.56
ORD-10226,2025-02-25,Yorktown Catering,VA,Furniture,Bookshelf,3.0,115.27,345.81
ORD-14594,2026-01-13,Lighthouse Daycare,VA,Safety Equipment,First Aid Kit,2.0,48.0,96.0
ORD-10522,2025-05-02,Gull Point Marina,SC,Office Supplies,Ink Cartridge,2.0,31.76,63.52
ORD-13564,2025-10-12,Foxtail Florist,SC,Electronics,Wireless Mouse,1.0,26.39,26.39
ORD-14337,2026-04-04,Kempsville Karate,DC,Food & Beverage,Tea Sampler,8.0,21.84,174.72
ORD-13681,2025-03-05,Bayview Dental,,Food & Beverage,Water Cooler Jug,1.0,12.35,12.35
ORD-14151,2025-12-29,Osprey Optics,NC,Office Supplies,Copy Paper Case,3.0,40.96,122.88
ORD-12934,2026-03-09,Osprey Optics,DC,Food & Beverage,Water Cooler Jug,5.0,12.21,61.050000000000004
ORD-10869,2025-06-01,Chesapeake Motors,SC,Office Supplies,Copy Paper Case,2.0,40.21,80.42
ORD-10751,2026-04-25,Landstown Pediatrics,VA,Safety Equipment,Fire Extinguisher,1.0,67.06,67.06
ORD-11652,2026-05-02,Jetty Joes Tackle,MD,Furniture,Standing Desk,2.0,407.02,814.04
ORD-11258,2025-07-05,Greenbrier Gym,NC,Electronics,Wireless Mouse,5.0,25.98,129.9
ORD-14782,2025-09-10,Wavecrest Hotel,NC,Electronics,Label Printer,3.0,134.35,403.04999999999995
ORD-12784,2025-08-02,Marlin Print Shop,VA,Food & Beverage,Tea Sampler,1.0,21.15,21.15
ORD-13473,2025-08-31,Redwing Auto Parts,VA,Office Supplies,Whiteboard,5.0,62.34,311.70000000000005
ORD-11106,2025-02-26,Cardinal Pest Control,NC,Safety Equipment,Fire Extinguisher,1.0,66.02,66.02
ORD-13690,2026-02-12,Yorktown Catering,,Food & Beverage,Tea Sampler,2.0,22.38,44.76
ORD-13113,2025-07-22,Cardinal Pest Control,NC,Safety Equipment,Safety Vest 10-Pack,5.0,53.31,266.55
ORD-12287,2025-05-25,Marlin Print Shop,NC,Safety Equipment,Safety Vest 10-Pack,1.0,54.82,54.82
ORD-14405,2025-02-19,Hilltop Hardware,VA,Safety Equipment,First Aid Kit,1.0,48.29,48.29
ORD-10741,2025-09-14,Cardinal Pest Control,NC,Safety Equipment,Wet Floor Signs,8.0,19.94,159.52
ORD-10347,2025-05-01,Nansemond Nursery,DC,Furniture,Bookshelf,1.0,118.6,118.6
ORD-12232,2026-05-21,Ironclad Fitness,VA,Electronics,Label Printer,1.0,133.11,133.11
ORD-11307,2025-10-24,Mount Trashmore Mini Golf,SC,Electronics,Wireless Mouse,1.0,24.64,24.64
ORD-12921,2025-12-03,James River Tours,SC,Food & Beverage,Water Cooler Jug,3.0,12.93,38.79
ORD-11971,2025-03-09,Driftwood Decor,VA,Safety Equipment,Wet Floor Signs,8.0,19.21,153.68
ORD-10651,2025-08-02,Atlantic Supply,MD,Office Supplies,Whiteboard,4.0,64.47,257.88
ORD-11516,2025-06-23,Yorktown Catering,DC,Electronics,Label Printer,3.0,133.73,401.18999999999994
ORD-14392,2025-06-12,Quality Crab,NC,Furniture,Bookshelf,5.0,112.45,562.25
ORD-14139,2025-07-11,Foxtail Florist,VA,Electronics,USB-C Dock,3.0,89.86,269.58
ORD-11318,2026-02-06,Xpress Couriers,SC,Cleaning,Mop Kit,1.0,37.74,37.74
ORD-11868,2025-07-01,Eastline Logistics,NC,Electronics,Wireless Mouse,8.0,26.01,208.08
ORD-14469,2026-01-17,Ironclad Fitness,MD,Electronics,USB-C Dock,3.0,95.65,286.95000000000005
ORD-11095,2025-09-11,Wavecrest Hotel,,Office Supplies,Stapler Set,1.0,19.87,19.87
ORD-10300,2025-08-23,Chesapeake Motors,NC,Office Supplies,Copy Paper Case,2.0,43.95,87.9
